datetime,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta,Detroit,Jacksonville,Charlotte,Miami,Pittsburgh,Toronto,Philadelphia,New York,Montreal,Boston,Beersheba,Tel Aviv District,Eilat,Haifa,Nahariyya,Jerusalem
01-10-2012 12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,
01-10-2012 13.00,76,81,88,81,88,82,22,23,50,62,93,87,93,71,67,71,71,100,76,94,76,88,87,83,93,82,71,58,93,68,50,63,22,51,51,50
01-10-2012 14.00,76,80,87,80,88,81,21,23,49,62,92,86,92,70,66,71,70,99,76,94,75,87,87,82,93,81,70,57,91,68,51,62,22,51,51,50
01-10-2012 15.00,76,80,86,80,88,81,21,23,49,62,92,86,90,70,66,71,70,99,76,94,75,87,87,82,93,79,70,57,87,68,51,62,22,51,51,50
01-10-2012 16.00,77,80,85,79,88,81,21,23,49,62,92,86,89,70,65,71,70,99,76,94,74,87,87,82,93,77,69,57,84,68,52,62,22,51,51,50
01-10-2012 17.00,78,79,84,79,88,80,21,24,49,63,92,86,88,69,65,71,69,99,76,94,74,86,87,81,93,76,69,57,80,68,54,62,23,51,51,50
01-10-2012 18.00,78,79,83,78,88,80,21,24,49,63,92,86,87,69,64,71,69,98,76,94,73,86,87,81,93,74,68,56,76,68,55,63,23,51,51,50
01-10-2012 19.00,79,78,82,77,88,80,21,24,49,63,91,85,86,69,64,72,69,98,76,94,72,85,87,81,93,72,68,56,72,68,56,63,23,51,51,50
01-10-2012 20.00,79,78,81,77,88,79,20,25,49,64,91,85,84,68,63,72,68,98,76,94,72,85,87,80,93,70,67,56,68,68,57,63,24,51,51,50
01-10-2012 21.00,80,77,80,76,88,79,20,25,49,64,91,85,83,68,63,72,68,97,76,94,71,84,87,80,93,69,67,55,64,68,58,64,24,51,51,50
01-10-2012 22.00,81,77,79,76,88,78,20,26,48,65,91,85,82,68,62,72,67,97,76,94,71,84,87,79,93,67,66,55,61,68,59,64,24,51,51,50
01-10-2012 23.00,81,77,78,75,88,78,20,26,48,65,91,85,81,67,62,72,67,97,76,94,70,84,87,79,93,65,66,55,57,68,60,64,25,51,51,50
02-10-2012 0.00,82,76,77,75,88,78,20,26,48,65,90,84,79,67,61,73,67,97,76,94,70,83,87,79,93,63,65,55,53,68,61,65,25,51,51,50
02-10-2012 1.00,83,76,76,74,88,77,20,27,48,66,90,84,78,67,61,73,66,96,76,94,69,83,87,78,93,61,65,54,49,68,62,65,25,51,51,50
02-10-2012 2.00,83,75,75,73,88,77,19,27,48,66,90,84,77,66,60,73,66,96,76,94,68,82,87,78,93,60,64,54,45,68,63,65,26,51,51,50
02-10-2012 3.00,84,75,74,73,88,77,19,27,48,66,90,84,76,66,60,73,66,96,76,94,68,82,87,78,93,58,64,54,42,68,64,66,26,51,51,50
02-10-2012 4.00,84,75,73,72,88,76,19,28,48,67,90,84,75,66,59,73,65,95,76,94,67,82,87,77,93,56,63,53,38,68,66,66,26,51,51,50
02-10-2012 5.00,85,74,72,72,88,76,19,28,48,67,89,83,73,65,59,74,65,95,76,94,67,81,87,77,93,54,63,53,34,68,67,66,26,51,51,50
02-10-2012 6.00,86,74,71,71,88,75,19,29,47,68,89,83,72,65,58,74,64,95,76,94,66,81,87,76,93,53,62,53,30,68,68,67,27,51,51,50
02-10-2012 7.00,86,73,70,71,88,75,19,29,47,68,89,83,71,65,58,74,64,95,76,94,66,80,87,76,93,51,62,53,26,68,69,67,27,51,51,50
02-10-2012 8.00,87,73,69,70,88,75,18,29,47,68,89,83,70,64,57,74,64,94,76,94,65,80,87,76,93,49,61,52,22,68,70,67,27,51,51,50
02-10-2012 9.00,87,73,68,69,88,74,18,30,47,69,89,83,69,64,57,74,63,94,76,94,64,80,87,75,93,47,61,52,19,68,71,68,28,51,51,50
02-10-2012 10.00,88,72,67,69,88,74,18,30,47,69,88,82,67,64,56,75,63,94,76,94,64,79,87,75,93,46,60,52,15,68,72,68,28,51,51,50
02-10-2012 11.00,89,72,66,68,88,74,18,30,47,69,88,82,66,63,56,75,63,93,76,94,63,79,87,75,93,44,60,51,11,68,73,68,28,51,51,50
02-10-2012 12.00,89,71,65,68,88,73,18,31,47,70,88,82,65,63,55,75,62,93,76,94,63,78,87,74,93,42,59,51,7,68,74,69,29,51,51,50
02-10-2012 13.00,90,71,64,67,88,73,18,31,47,70,88,82,64,63,55,75,62,93,76,94,62,78,87,74,93,40,59,51,,68,75,69,29,51,51,50
02-10-2012 14.00,91,71,63,67,88,73,18,32,47,71,88,82,63,63,55,76,62,93,76,94,62,78,87,74,93,39,59,51,,68,76,69,29,51,51,50
02-10-2012 15.00,89,76,51,87,88,73,16,17,41,66,60,77,52,59,55,71,51,93,71,94,55,70,82,78,87,77,48,52,82,64,78,70,30,51,51,50
02-10-2012 16.00,76,62,56,76,23,22,23,28,40,,60,60,56,83,55,73,,,71,100,48,74,93,83,62,34,52,,,64,80,66,28,51,51,50
02-10-2012 17.00,76,75,94,58,19,15,18,,,,56,44,50,88,55,69,,,65,88,45,66,100,83,51,33,43,,,64,83,74,36,51,51,50
02-10-2012 18.00,67,52,70,63,24,57,9,9,23,48,88,36,39,38,48,59,42,88,59,94,37,55,87,88,48,72,35,46,82,68,61,78,43,61,61,61
02-10-2012 19.00,58,60,83,48,15,57,9,,,,88,40,36,88,42,57,,,59,94,42,70,100,88,48,32,37,,,73,63,70,45,61,61,61
02-10-2012 20.00,53,56,75,43,12,35,9,13,22,,77,40,34,88,33,57,,94,77,94,39,74,100,88,48,33,37,43,,68,85,66,48,61,61,61
02-10-2012 21.00,47,34,75,43,14,69,8,,21,,69,34,36,88,30,56,,94,82,100,39,83,100,88,48,33,40,,77,73,89,78,52,61,61,61
02-10-2012 22.00,45,32,18,38,22,65,8,7,15,,57,35,36,38,33,52,48,100,87,94,42,88,93,78,51,34,46,43,,78,89,83,60,61,61,61
02-10-2012 23.00,52,32,11,49,21,61,8,6,15,,88,26,36,46,32,55,48,93,87,94,48,88,93,88,55,34,43,46,,78,91,83,64,61,61,61
03-10-2012 0.00,49,34,15,38,27,61,8,6,15,,88,30,72,43,37,55,55,100,87,94,48,83,93,78,59,82,49,46,,78,93,83,51,61,61,61
03-10-2012 1.00,57,39,18,40,42,65,8,9,19,36,93,38,44,43,36,55,55,93,82,88,51,83,93,88,63,34,59,46,,83,96,88,68,61,61,61
03-10-2012 2.00,72,50,25,56,54,57,9,,19,36,88,38,53,43,39,55,59,93,87,94,58,83,93,88,63,76,68,46,87,88,96,83,77,61,61,61
03-10-2012 3.00,76,53,31,64,57,61,,,24,44,93,43,60,32,41,58,63,93,87,94,58,83,100,94,67,34,72,59,,94,96,83,54,61,61,61
